agents,targets,model,checkpoint,avg_dir_mismatch
20,10,Majority Model,13,0.5736554208141725
20,10,Majority Model,14,0.5035486824825164
20,10,Majority Model,15,0.376277621512456
20,10,Majority Model,16,0.6079242206757763
20,10,Majority Model,17,0.5641525711914264
20,10,Majority Model,18,0.39786714192646916
20,10,Majority Model,19,0.2870139273892302
20,10,Majority Model,20,0.3577907018803506
20,10,Majority Model,21,0.3439655245029152
20,10,Majority Model,22,0.3363732645516703
20,10,Majority Model,23,0.1732485977825805
20,10,Majority Model,24,0.17370808684976896
20,10,Majority Model,25,0.5384138938256924
20,10,Majority Model,26,0.5284587939166501
20,10,Majority Model,27,0.6193186137622758
20,10,Majority Model,28,0.3933787164193937
20,10,Majority Model,29,0.4751088120367868
20,10,Majority Model,30,0.6177268329224322
20,10,Voter Model,1,3.8903179147561118
20,10,Voter Model,2,1.3089899874523672
20,10,Voter Model,3,0.7390276671904761
20,10,Voter Model,4,0.7405267200654624
20,10,Voter Model,5,0.47648745382391455
20,10,Voter Model,6,1.0970890564739693
20,10,Voter Model,7,0.568912592028556
20,10,Voter Model,8,0.3054270834295602
20,10,Voter Model,9,0.3576992728090902
20,10,Voter Model,10,0.5216653425063482
20,10,Voter Model,11,0.4108513845892389
20,10,Voter Model,12,0.30142066015577784
20,10,Voter Model,13,0.384627233976838
20,10,Voter Model,14,0.4831264428782164
20,10,Voter Model,15,0.3445887714645527
20,10,Voter Model,16,0.3974788641706336
20,10,Voter Model,17,0.4470601893733782
20,10,Voter Model,18,0.591441666251724
20,10,Voter Model,19,0.39711712180202446
20,10,Voter Model,20,0.5115608922949206
20,10,Voter Model,21,0.6668546859178152
20,10,Voter Model,22,0.433826486783071
20,10,Voter Model,23,0.593761503386519
20,10,Voter Model,24,0.6007501131393089
20,10,Voter Model,25,0.5282191666874173
20,10,Voter Model,26,0.5296244735511626
20,10,Voter Model,27,0.6222434305094142
20,10,Voter Model,28,0.3229290234127024
20,10,Voter Model,29,0.4601106859349671
20,10,Voter Model,30,0.5277373951398682
20,10,Kuramoto Model,1,4.516450464316656
20,10,Kuramoto Model,2,3.50901484600271
20,10,Kuramoto Model,3,3.396221775192499
20,10,Kuramoto Model,4,3.1538435135249525
20,10,Kuramoto Model,5,3.5575814746644006
20,10,Kuramoto Model,6,3.000270572965973
20,10,Kuramoto Model,7,3.411311485039211
20,10,Kuramoto Model,8,3.1987661908326213
20,10,Kuramoto Model,9,3.063481080228168
20,10,Kuramoto Model,10,3.147122124208964
20,10,Kuramoto Model,11,3.285064055709637
20,10,Kuramoto Model,12,2.9705935785938027
20,10,Kuramoto Model,13,3.3345041235995425
20,10,Kuramoto Model,14,2.917608466812545
20,10,Kuramoto Model,15,3.140042226907748
20,10,Kuramoto Model,16,3.165433251108717
20,10,Kuramoto Model,17,3.280959457925306
20,10,Kuramoto Model,18,3.282710060544533
20,10,Kuramoto Model,19,3.2740187191686125
20,10,Kuramoto Model,20,3.307610356781688
20,10,Kuramoto Model,21,3.0007596753798707
20,10,Kuramoto Model,22,3.0937752349630525
20,10,Kuramoto Model,23,3.05916104939159
20,10,Kuramoto Model,24,2.960705490502912
20,10,Kuramoto Model,25,3.042471348866448
20,10,Kuramoto Model,26,3.1563628478330874
20,10,Kuramoto Model,27,3.029976349402777
20,10,Kuramoto Model,28,3.120933548326641
20,10,Kuramoto Model,29,3.1474210983279525
20,10,Kuramoto Model,30,3.307626498519492
30,2,Majority Model,1,1.7316158669536406
30,2,Majority Model,2,1.6863917866551021
30,2,Majority Model,3,0.7066695106922121
30,2,Majority Model,4,0.9163782185693081
30,2,Majority Model,5,0.8334558079451504
30,2,Majority Model,6,0.4139101146212989
30,2,Majority Model,7,0.4572468570841933
30,2,Majority Model,8,0.4644347293827298
30,2,Majority Model,9,0.31499456172586393
30,2,Majority Model,10,0.3528757701856256
30,2,Majority Model,11,0.8615764625665597
30,2,Majority Model,12,0.5216416889841925
30,2,Majority Model,13,0.28799784965719727
30,2,Majority Model,14,0.5129657576927618
30,2,Majority Model,15,0.3987012112076911
30,2,Majority Model,16,0.708041221553332
30,2,Majority Model,17,0.5337193495690412
30,2,Majority Model,18,0.4732409162194619
30,2,Majority Model,19,0.7104458273208671
30,2,Majority Model,20,0.5623289903378113
30,2,Majority Model,21,0.4507039946073907
30,2,Majority Model,22,0.4907761183286299
30,2,Majority Model,23,0.46061307887672936
30,2,Majority Model,24,0.6381070470618456
30,2,Majority Model,25,0.6095123529266295
30,2,Majority Model,26,0.39367905079565546
30,2,Majority Model,27,0.6616861826723102
30,2,Majority Model,28,0.587889033881412
30,2,Majority Model,29,0.33734013981974037
30,2,Majority Model,30,0.7444688896242291
30,2,Voter Model,1,2.6622946934179104
30,2,Voter Model,2,0.5936587848882877
30,2,Voter Model,3,0.7860348725787734
30,2,Voter Model,4,0.981722255925202
30,2,Voter Model,5,0.6106503475900359
30,2,Voter Model,6,0.8412250646378646
30,2,Voter Model,7,0.6117748885975097
30,2,Voter Model,8,0.4721221002108981
30,2,Voter Model,9,0.41345601549886174
30,2,Voter Model,10,0.3166391564891646
30,2,Voter Model,11,0.2718259107952944
30,2,Voter Model,12,0.6342421511098683
30,2,Voter Model,13,0.35909134254158026
30,2,Voter Model,14,0.29919094310845806
30,2,Voter Model,15,0.4364389927329124
30,2,Voter Model,16,0.42987158075969695
30,2,Voter Model,17,0.40711596700906594
30,2,Voter Model,18,0.4433690764508249
30,2,Voter Model,19,0.40099848188952697
30,2,Voter Model,20,0.37911636271487725
30,2,Voter Model,21,0.5132245941909521
30,2,Voter Model,22,0.5773699741812753
30,2,Voter Model,23,0.429239606729693
30,2,Voter Model,24,0.5064366218569682
30,2,Voter Model,25,0.5170399585643469
30,2,Voter Model,26,0.5164862777747167
30,2,Voter Model,27,0.45274127362972594
30,2,Voter Model,28,0.49765169997649067
30,2,Voter Model,29,0.5351646064908145
30,2,Voter Model,30,0.5108838290910901
30,2,Kuramoto Model,1,3.1469105234191703
30,2,Kuramoto Model,2,2.6134619047449
30,2,Kuramoto Model,3,3.4970149354471776
30,2,Kuramoto Model,4,3.386939934370695
30,2,Kuramoto Model,5,3.070798113860128
30,2,Kuramoto Model,6,3.0971800010457766
30,2,Kuramoto Model,7,3.1278241970096956
30,2,Kuramoto Model,8,3.1124652781053013
30,2,Kuramoto Model,9,3.0943993586591554
30,2,Kuramoto Model,10,3.1889925065913896
30,2,Kuramoto Model,11,3.2776171194344723
30,2,Kuramoto Model,12,3.088908361859601
30,2,Kuramoto Model,13,2.9480724468146056
30,2,Kuramoto Model,14,3.0738269363030986
30,2,Kuramoto Model,15,3.110107727089155
30,2,Kuramoto Model,16,3.304620419890981
30,2,Kuramoto Model,17,3.138326484826917
30,2,Kuramoto Model,18,3.038417089069506
30,2,Kuramoto Model,19,2.93728522836062
30,2,Kuramoto Model,20,3.1431864945515002
30,2,Kuramoto Model,21,3.113446563007244
30,2,Kuramoto Model,22,3.2621236444750656
30,2,Kuramoto Model,23,2.9529777155164294
30,2,Kuramoto Model,24,3.421617959592419
30,2,Kuramoto Model,25,3.1051218850449867
30,2,Kuramoto Model,26,3.2182469913346936
30,2,Kuramoto Model,27,3.1751522640637146
30,2,Kuramoto Model,28,3.323208762651701
30,2,Kuramoto Model,29,3.1037143911096106
30,2,Kuramoto Model,30,3.4708834602255347
30,10,Majority Model,1,2.2449789259550585
30,10,Majority Model,2,0.7904006794315576
30,10,Majority Model,3,0.7770029490536963
30,10,Majority Model,4,0.8173921400464755
30,10,Majority Model,5,0.9106974228165801
30,10,Majority Model,6,0.6279993453519187
30,10,Majority Model,7,0.6303060585071376
30,10,Majority Model,8,0.9229605473398893
30,10,Majority Model,9,0.4122256120460238
30,10,Majority Model,10,0.42606815075713356
30,10,Majority Model,11,0.5168873529852197
30,10,Majority Model,12,0.5148358322792271
