agents,targets,model,checkpoint,avg_dir_mismatch
40,2,Kuramoto Model,24,3.379705226376438
40,2,Kuramoto Model,25,3.1340728431969898
40,2,Kuramoto Model,26,3.1933687955378685
40,2,Kuramoto Model,27,3.388396862152555
40,2,Kuramoto Model,28,3.1636405805067858
40,2,Kuramoto Model,29,2.936438638076851
40,2,Kuramoto Model,30,3.155109805517001
40,10,Majority Model,1,4.30244062416172
40,10,Majority Model,2,0.9844306863634952
40,10,Majority Model,3,1.199347172584238
40,10,Majority Model,4,0.845538604717909
40,10,Majority Model,5,0.6904154827188165
40,10,Majority Model,6,0.7709888643953096
40,10,Majority Model,7,0.666441894168196
40,10,Majority Model,8,0.6952333964329761
40,10,Majority Model,9,0.7048283291273008
40,10,Majority Model,10,0.7911439114609097
40,10,Majority Model,11,0.47635858889326055
40,10,Majority Model,12,0.6933699732875673
40,10,Majority Model,13,0.452139613513397
40,10,Majority Model,14,0.6694180514331032
40,10,Majority Model,15,0.4376876553555533
40,10,Majority Model,16,0.3979833803286763
40,10,Majority Model,17,0.39299766476635967
40,10,Majority Model,18,0.49731081196654203
40,10,Majority Model,19,0.4850822378304057
40,10,Majority Model,20,0.4062490215466057
40,10,Majority Model,21,0.46182877112230747
40,10,Majority Model,22,0.4132315978478852
40,10,Majority Model,23,0.4514443662029805
40,10,Majority Model,24,0.38801291705865293
40,10,Majority Model,25,0.4448668085763174
40,10,Majority Model,26,0.5410438982818147
40,10,Majority Model,27,0.408857863515001
40,10,Majority Model,28,0.5114856901726607
40,10,Majority Model,29,0.3354809144253411
40,10,Majority Model,30,0.38074712053205556
40,10,Voter Model,1,2.9222853231674506
40,10,Voter Model,2,1.1965897409105466
40,10,Voter Model,3,1.3246761848684814
40,10,Voter Model,4,0.6685553302398317
40,10,Voter Model,5,0.7409942252697812
40,10,Voter Model,6,0.484026123218731
40,10,Voter Model,7,0.4863043780819766
40,10,Voter Model,8,0.9415396338703195
40,10,Voter Model,9,0.7376024304488961
40,10,Voter Model,10,0.4739273134416641
40,10,Voter Model,11,0.4167478287129036
40,10,Voter Model,12,0.5286752797887877
40,10,Voter Model,13,0.482955610387277
40,10,Voter Model,14,0.523082282552545
40,10,Voter Model,15,0.424981591306491
40,10,Voter Model,16,0.37496098268377487
40,10,Voter Model,17,0.5681891508532788
40,10,Voter Model,18,0.5946499563379646
40,10,Voter Model,19,0.48762424172835417
40,10,Voter Model,20,0.28821512273854044
40,10,Voter Model,21,0.5448071326751943
40,10,Voter Model,22,0.5521364430720332
40,10,Voter Model,23,0.43859671928785626
40,10,Voter Model,24,0.6266798989253808
40,10,Voter Model,25,0.5358138221885165
40,10,Voter Model,26,0.590206822287815
40,10,Voter Model,27,0.523747487570819
40,10,Voter Model,28,0.38992833313314273
40,10,Voter Model,29,0.47988291653138593
40,10,Voter Model,30,0.7513816213585118
40,10,Kuramoto Model,1,4.065736425582633
40,10,Kuramoto Model,2,3.9689625514858315
40,10,Kuramoto Model,3,3.0444498910083078
40,10,Kuramoto Model,4,2.9466383726006407
40,10,Kuramoto Model,5,3.238585727346006
40,10,Kuramoto Model,6,3.3672743785946366
40,10,Kuramoto Model,7,3.50141336725624
40,10,Kuramoto Model,8,3.230694310658717
40,10,Kuramoto Model,9,3.265465514196624
40,10,Kuramoto Model,10,3.274066784014906
40,10,Kuramoto Model,11,3.054384358671838
40,10,Kuramoto Model,12,3.1319941222190133
40,10,Kuramoto Model,13,3.128894895380256
40,10,Kuramoto Model,14,3.1581029242911995
40,10,Kuramoto Model,15,3.345294166050376
40,10,Kuramoto Model,16,3.0652716650755956
40,10,Kuramoto Model,17,3.1834084985389137
40,10,Kuramoto Model,18,3.063371739345232
40,10,Kuramoto Model,19,3.3763824211347413
40,10,Kuramoto Model,20,3.2105375453541107
40,10,Kuramoto Model,21,3.2914791596571575
40,10,Kuramoto Model,22,3.0991845994787486
40,10,Kuramoto Model,23,3.1322024774575605
40,10,Kuramoto Model,24,3.387766182403612
40,10,Kuramoto Model,25,3.1892787740038884
40,10,Kuramoto Model,26,3.12393904766355
40,10,Kuramoto Model,27,3.0727691814760005
40,10,Kuramoto Model,28,3.1308271566936345
40,10,Kuramoto Model,29,3.012716816113809
40,10,Kuramoto Model,30,3.2161711611915287
